,minicluster_size,name,fluxsubmit_time,fluxstart_time,lammps_time,ranks,timesteps_per_second,cluster_time
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-12-minicluster-size-64,64,minicluster-64,25.98,27.96,18.0,6016,5.621,53.053
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-20-minicluster-size-8,8,minicluster-8,80.75,82.72,74.0,752,1.378,49.471000000000004
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-4-minicluster-size-32,32,minicluster-32,33.3,36.18,26.0,3008,3.926,51.604
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-14-minicluster-size-32,32,minicluster-32,35.24,38.01,27.0,3008,3.862,51.172999999999995
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-9-minicluster-size-8,8,minicluster-8,79.64,81.39,73.0,752,1.396,50.09400000000001
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-8-minicluster-size-32,32,minicluster-32,36.27,39.01,29.0,3008,3.575,51.126
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-2-minicluster-size-64,64,minicluster-64,29.09,32.74,19.0,6016,5.412,52.028999999999996
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-15-minicluster-size-32,32,minicluster-32,33.75,36.64,27.0,3008,3.843,51.33
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-7-minicluster-size-64,64,minicluster-64,26.72,28.79,18.0,6016,5.644,53.5
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-3-minicluster-size-16,16,minicluster-16,49.61,51.36,43.0,1504,2.388,49.494
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-19-minicluster-size-32,32,minicluster-32,33.12,34.82,26.0,3008,3.927,46.925000000000004
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-2-minicluster-size-16,16,minicluster-16,49.01,51.92,42.0,1504,2.407,50.803000000000004
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-10-minicluster-size-32,32,minicluster-32,34.15,35.89,27.0,3008,3.801,50.309999999999995
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-16-minicluster-size-16,16,minicluster-16,49.3,50.19,43.0,1504,2.395,48.867000000000004
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-14-minicluster-size-16,16,minicluster-16,55.33,57.16,49.0,1504,2.098,49.831
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-2-minicluster-size-32,32,minicluster-32,34.46,36.39,27.0,3008,3.732,50.505
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-6-minicluster-size-8,8,minicluster-8,79.13,80.0,73.0,752,1.409,48.634
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-17-minicluster-size-64,64,minicluster-64,26.97,28.77,18.0,6016,5.668,52.687
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-4-minicluster-size-64,64,minicluster-64,26.74,28.52,19.0,6016,5.46,52.93400000000001
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-12-minicluster-size-32,32,minicluster-32,34.25,35.79,27.0,3008,3.789,46.17100000000001
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-16-minicluster-size-8,8,minicluster-8,86.96000000000001,87.81,80.0,752,1.27,50.983000000000004
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-17-minicluster-size-8,8,minicluster-8,79.67,80.49,73.0,752,1.399,45.417
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-16-minicluster-size-32,32,minicluster-32,34.17,35.69,26.0,3008,3.893,46.17099999999999
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-18-minicluster-size-32,32,minicluster-32,37.04,38.86,27.0,3008,3.811,50.76200000000001
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-20-minicluster-size-16,16,minicluster-16,49.04,50.9,42.0,1504,2.407,49.693000000000005
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-17-minicluster-size-16,16,minicluster-16,49.4,52.38,43.0,1504,2.398,51.779
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-5-minicluster-size-16,16,minicluster-16,49.49,50.33,43.0,1504,2.403,48.660000000000004
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-8-minicluster-size-8,8,minicluster-8,79.37,80.22,73.0,752,1.4,51.25
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-1-minicluster-size-32,32,minicluster-32,33.13,34.87,26.0,3008,3.907,48.36599999999999
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-19-minicluster-size-16,16,minicluster-16,49.38,53.89,43.0,1504,2.4,49.278
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-21-minicluster-size-64,64,minicluster-64,26.14,28.47,18.0,6016,5.592,52.849999999999994
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-9-minicluster-size-32,32,minicluster-32,33.61,36.48,27.0,3008,3.841,51.322
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-6-minicluster-size-16,16,minicluster-16,50.45,52.14,43.0,1504,2.361,49.738
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-13-minicluster-size-16,16,minicluster-16,49.12,49.98,42.0,1504,2.411,48.873
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-1-minicluster-size-64,64,minicluster-64,26.83,28.88,19.0,6016,5.461,21.985
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-14-minicluster-size-8,8,minicluster-8,79.05,79.91,72.0,752,1.41,44.733000000000004
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-10-minicluster-size-16,16,minicluster-16,50.21,51.04,43.0,1504,2.366,48.611
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-10-minicluster-size-64,64,minicluster-64,26.46,28.51,19.0,6016,5.552,53.279
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-17-minicluster-size-32,32,minicluster-32,34.16,36.1,26.0,3008,3.932,51.119
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-14-minicluster-size-64,64,minicluster-64,26.09,28.43,18.0,6016,5.621,53.25099999999999
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-11-minicluster-size-8,8,minicluster-8,79.53,80.36,73.0,752,1.399,48.536
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-11-minicluster-size-32,32,minicluster-32,34.1,37.04,27.0,3008,3.78,51.602
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-20-minicluster-size-64,64,minicluster-64,27.1,29.26,19.0,6016,5.423,52.996
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-3-minicluster-size-64,64,minicluster-64,27.41,29.6,19.0,6016,5.252,49.510000000000005
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-15-minicluster-size-8,8,minicluster-8,79.24,80.13,73.0,752,1.408,44.55800000000001
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-7-minicluster-size-32,32,minicluster-32,33.47,36.42,26.0,3008,3.893,51.36
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-11-minicluster-size-64,64,minicluster-64,25.7,28.69,18.0,6016,5.738,53.358000000000004
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-5-minicluster-size-32,32,minicluster-32,33.94,35.82,27.0,3008,3.828,50.619
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-13-minicluster-size-32,32,minicluster-32,33.2,35.04,26.0,3008,3.917,50.584
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-6-minicluster-size-32,32,minicluster-32,33.97,36.01,27.0,3008,3.82,50.536
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-5-minicluster-size-8,8,minicluster-8,80.14,80.99,74.0,752,1.388,49.075
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-3-minicluster-size-32,32,minicluster-32,33.14,34.02,26.0,3008,3.905,50.056
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-10-minicluster-size-8,8,minicluster-8,79.41,81.17,73.0,752,1.403,49.90299999999999
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-9-minicluster-size-16,16,minicluster-16,50.36,51.2,44.0,1504,2.336,44.67100000000001
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-3-minicluster-size-8,8,minicluster-8,79.03999999999999,80.81,73.0,752,1.405,49.131
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-18-minicluster-size-16,16,minicluster-16,49.31,50.15,43.0,1504,2.403,49.931
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-13-minicluster-size-8,8,minicluster-8,87.62,88.48,81.0,752,1.263,45.06299999999999
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-2-minicluster-size-8,8,minicluster-8,81.43,85.98,75.0,752,1.366,48.085999999999984
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-11-minicluster-size-16,16,minicluster-16,49.32,51.29,43.0,1504,2.409,49.800999999999995
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-5-minicluster-size-64,64,minicluster-64,27.85,29.53,20.0,6016,5.159,52.645999999999994
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-16-minicluster-size-64,64,minicluster-64,26.69,28.94,19.0,6016,5.445,49.22
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-15-minicluster-size-16,16,minicluster-16,49.55,51.49,43.0,1504,2.395,50.167
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-12-minicluster-size-16,16,minicluster-16,49.67,50.53,43.0,1504,2.381,45.089
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-1-minicluster-size-8,8,minicluster-8,79.53,80.38,73.0,752,1.4,48.883999999999986
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-19-minicluster-size-8,8,minicluster-8,80.63,81.47,74.0,752,1.381,48.289000000000016
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-15-minicluster-size-64,64,minicluster-64,25.45,28.09,18.0,6016,5.774,53.53
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-4-minicluster-size-16,16,minicluster-16,49.9,51.64,43.0,1504,2.367,50.166000000000004
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-20-minicluster-size-32,32,minicluster-32,33.86,35.5,27.0,3008,3.82,46.562
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-4-minicluster-size-8,8,minicluster-8,79.61,82.62,73.0,752,1.403,50.56400000000001
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-7-minicluster-size-8,8,minicluster-8,79.62,80.44,73.0,752,1.4,44.408
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-9-minicluster-size-64,64,minicluster-64,26.48,28.36,19.0,6016,5.542,53.828
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-18-minicluster-size-64,64,minicluster-64,25.74,27.65,18.0,6016,5.721,52.759
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-12-minicluster-size-8,8,minicluster-8,86.53999999999999,87.4,80.0,752,1.277,44.714
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-6-minicluster-size-64,64,minicluster-64,26.59,28.5,19.0,6016,5.489,53.89099999999999
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-19-minicluster-size-64,64,minicluster-64,25.76,27.64,18.0,6016,5.79,52.657
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-13-minicluster-size-64,64,minicluster-64,25.86,28.16,18.0,6016,5.733,49.318
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-8-minicluster-size-16,16,minicluster-16,53.92,54.8,47.0,1504,2.159,49.128
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-18-minicluster-size-8,8,minicluster-8,79.35,81.09,73.0,752,1.402,49.84300000000002
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-8-minicluster-size-64,64,minicluster-64,27.56,29.53,19.0,6016,5.438,53.06699999999999
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-7-minicluster-size-16,16,minicluster-16,49.34,50.17,43.0,1504,2.397,44.953
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-1-minicluster-size-16,16,minicluster-16,49.31,51.18,43.0,1504,2.403,50.150999999999996
