,size,experiment,scheduler,log_time,external_recorded_time,submit_to_completion_time
0,2,size-2,fluence,2,0.589017,
1,6,size-6,fluence,3,0.710151,
2,5,size-5,fluence,2,0.898728,
3,2,size-2,fluence,1,0.576367,
4,4,size-4,fluence,3,0.967244,
5,2,size-2,fluence,2,0.584673,
6,3,size-3,fluence,2,0.947917,
7,4,size-4,fluence,2,1.011188,
8,2,size-2,fluence,2,0.663358,
9,6,size-6,fluence,3,1.100947,
10,4,size-4,fluence,2,0.490796,
11,3,size-3,fluence,3,1.335554,
12,2,size-2,fluence,1,0.666937,
13,4,size-4,fluence,4,1.044488,
14,4,size-4,fluence,4,0.483078,
15,6,size-6,fluence,3,1.533291,
16,6,size-6,fluence,3,0.504361,
17,4,size-4,fluence,3,1.221547,
18,3,size-3,fluence,2,0.497328,
19,5,size-5,fluence,2,0.577249,
20,3,size-3,fluence,1,0.538583,
21,5,size-5,fluence,2,0.473009,
22,4,size-4,fluence,1,1.419682,
23,6,size-6,fluence,4,0.932162,
24,5,size-5,fluence,3,0.629275,
25,6,size-6,fluence,3,0.604219,
26,2,size-2,fluence,3,1.333825,
27,2,size-2,fluence,3,1.088789,
28,5,size-5,fluence,2,0.994428,
29,6,size-6,fluence,2,1.30197,
30,2,size-2,fluence,2,1.649017,
31,4,size-4,fluence,3,1.101769,
32,5,size-5,fluence,3,1.069636,
33,5,size-5,fluence,4,0.953637,
34,6,size-6,fluence,3,1.122108,
35,4,size-4,fluence,4,0.397764,
36,6,size-6,fluence,2,0.586958,
37,4,size-4,fluence,2,0.565239,
38,2,size-2,fluence,3,1.329715,
39,3,size-3,fluence,2,0.705032,
40,4,size-4,fluence,2,1.868388,
41,2,size-2,fluence,2,1.418063,
42,3,size-3,fluence,2,0.377506,
43,3,size-3,fluence,3,1.48763,
44,3,size-3,fluence,4,0.866908,
45,6,size-6,fluence,2,1.068261,
46,2,size-2,fluence,3,0.340875,
47,5,size-5,fluence,3,0.477034,
48,5,size-5,fluence,3,1.557414,
49,5,size-5,fluence,4,0.873065,
50,3,size-3,fluence,3,0.4244,
51,3,size-3,fluence,3,0.716192,
52,2,size-2,fluence,3,0.760174,
53,5,size-5,fluence,3,0.609066,
54,3,size-3,fluence,3,1.344927,
55,6,size-6,fluence,2,0.627962,
56,6,size-6,coscheduling,1,0.096829,1151.640017
57,6,size-6,coscheduling,2,0.111698,1083.007173
58,4,size-4,coscheduling,1,0.294848,461.80434
59,6,size-6,coscheduling,2,0.257435,650.4269
60,4,size-4,coscheduling,1,0.308847,576.79163
61,3,size-3,coscheduling,4,0.224064,687.819313
62,5,size-5,coscheduling,1,0.372395,497.377643
63,2,size-2,coscheduling,3,0.545338,294.493735
64,6,size-6,coscheduling,1,0.110719,865.877471
65,5,size-5,coscheduling,1,0.369975,106.52704
66,2,size-2,coscheduling,3,0.151828,762.585018
67,4,size-4,coscheduling,1,0.125616,1008.663316
68,2,size-2,coscheduling,2,0.293349,651.325075
69,5,size-5,coscheduling,2,0.090301,1045.878966
70,2,size-2,coscheduling,1,0.115175,1082.583052
71,6,size-6,coscheduling,1,0.190521,759.856607
72,6,size-6,coscheduling,1,0.213437,974.323423
73,5,size-5,coscheduling,1,0.119607,828.612244
74,5,size-5,coscheduling,1,0.184502,612.927174
75,2,size-2,coscheduling,1,0.256137,159.22321
76,2,size-2,coscheduling,2,0.311825,18.597637
77,6,size-6,coscheduling,3,0.409114,158.650961
78,3,size-3,coscheduling,3,0.420887,329.981469
79,3,size-3,coscheduling,2,0.269255,18.178785
80,3,size-3,coscheduling,1,0.137027,901.713369
81,4,size-4,coscheduling,2,0.270392,333.411138
82,3,size-3,coscheduling,1,0.123093,794.187294
83,5,size-5,coscheduling,1,0.129574,1193.735529
84,5,size-5,coscheduling,1,0.09342,936.944918
85,6,size-6,coscheduling,1,0.338917,537.62308
86,4,size-4,coscheduling,3,0.087834,1117.597393
87,5,size-5,coscheduling,3,0.182673,723.571952
88,3,size-3,coscheduling,2,0.243778,576.400481
89,4,size-4,coscheduling,4,0.473714,63.238842
90,5,size-5,coscheduling,2,0.336659,371.277723
91,2,size-2,coscheduling,1,0.343755,423.118954
92,3,size-3,coscheduling,2,0.253046,1008.130825
93,5,size-5,coscheduling,2,0.379204,240.750254
94,4,size-4,coscheduling,2,0.349263,688.104757
95,6,size-6,coscheduling,3,0.606609,290.803809
96,3,size-3,coscheduling,1,0.346516,459.412308
97,2,size-2,coscheduling,1,0.175412,973.310276
98,3,size-3,coscheduling,1,0.108778,1120.681835
99,4,size-4,coscheduling,1,0.331876,202.33151
100,4,size-4,coscheduling,3,0.107155,904.280929
101,2,size-2,coscheduling,1,0.140983,866.088209
102,4,size-4,coscheduling,1,0.166325,795.254576
103,3,size-3,coscheduling,2,0.373757,198.786213
104,6,size-6,coscheduling,2,0.429547,420.592236
105,2,size-2,coscheduling,1,0.398601,539.239612
106,2,size-2,kueue,3,0.146829,506.477925
107,6,size-6,kueue,33,0.096887,1017.721932
108,5,size-5,kueue,3,0.189722,26.629374
109,4,size-4,kueue,2,0.165721,715.461503
110,5,size-5,kueue,39,0.315341,348.341686
111,4,size-4,kueue,3,0.15415,138.451462
112,5,size-5,kueue,3,0.097161,583.093251
113,5,size-5,kueue,3,0.227283,261.322345
114,4,size-4,kueue,49,0.165421,61.969014
115,3,size-3,kueue,1,0.093449,1022.582834
116,6,size-6,kueue,38,0.330991,181.319918
117,6,size-6,kueue,35,0.142017,625.392719
118,2,size-2,kueue,3,0.221957,306.372683
119,2,size-2,kueue,2,0.136727,342.48441
120,6,size-6,kueue,38,0.145277,666.438975
121,5,size-5,kueue,39,0.392928,428.741875
122,5,size-5,kueue,3,0.18278,946.017915
123,6,size-6,kueue,35,0.226663,104.852617
124,4,size-4,kueue,2,0.092978,943.540753
125,4,size-4,kueue,36,0.110133,499.241316
126,3,size-3,kueue,35,0.263459,628.427439
127,2,size-2,kueue,1,0.095823,911.95796
128,3,size-3,kueue,4,0.174026,63.210713
129,6,size-6,kueue,29,0.136418,545.233749
130,3,size-3,kueue,1,0.096095,781.871511
131,3,size-3,kueue,1,0.097079,504.558338
132,4,size-4,kueue,11,0.115939,424.541629
133,3,size-3,kueue,2,0.088885,752.461093
134,2,size-2,kueue,1,0.199553,545.973478
135,2,size-2,kueue,2,0.130215,815.413231
136,3,size-3,kueue,2,0.166119,21.179539
137,2,size-2,kueue,2,0.207813,140.905613
138,5,size-5,kueue,42,0.118305,824.452301
139,5,size-5,kueue,39,0.213,224.90303
140,4,size-4,kueue,32,0.12122,466.737051
141,4,size-4,kueue,37,0.083686,985.183364
142,6,size-6,kueue,36,0.139485,389.863842
143,2,size-2,kueue,2,0.144818,750.365121
144,3,size-3,kueue,3,0.233794,470.026376
145,4,size-4,kueue,26,0.116874,227.226818
146,6,size-6,kueue,30,0.15688,304.856931
147,4,size-4,kueue,36,0.162737,749.044844
148,6,size-6,kueue,39,0.096085,787.557149
149,3,size-3,kueue,34,0.180651,264.290258
150,3,size-3,kueue,3,0.159289,338.07696
151,2,size-2,kueue,27,0.123184,67.08784
152,6,size-6,kueue,29,0.110274,867.749182
153,5,size-5,kueue,42,0.260032,910.392438
154,5,size-5,kueue,33,0.151238,710.390347
155,2,size-2,kueue,3,0.126576,19.345697
156,2,size-2,kueue,23,0.290234,522.702194
157,6,size-6,kueue,6,0.235747,968.659423
158,5,size-5,kueue,53,0.356399,64.387946
159,4,size-4,kueue,30,0.647357,701.986525
160,5,size-5,kueue,37,0.588025,406.167425
161,4,size-4,kueue,37,0.578389,153.763932
162,5,size-5,kueue,35,0.327706,658.882435
163,5,size-5,kueue,44,0.369311,327.182841
164,4,size-4,kueue,2,0.369246,19.89736
165,3,size-3,kueue,28,0.254365,960.660927
166,6,size-6,kueue,3,0.610334,196.71446
167,6,size-6,kueue,38,1.046147,619.279541
168,2,size-2,kueue,3,0.366951,332.801075
169,2,size-2,kueue,2,0.643695,410.016496
170,6,size-6,kueue,37,0.22937,745.760187
171,5,size-5,kueue,5,0.470434,497.752391
172,5,size-5,kueue,3,0.089022,1017.868257
173,6,size-6,kueue,39,0.269354,108.964696
174,4,size-4,kueue,34,0.241455,892.516268
175,4,size-4,kueue,34,0.634629,571.745548
176,3,size-3,kueue,3,0.215581,669.058841
177,2,size-2,kueue,26,0.118423,925.852238
178,3,size-3,kueue,2,0.544165,114.225795
179,6,size-6,kueue,13,0.27497,537.75667
180,3,size-3,kueue,3,0.786692,823.239987
181,3,size-3,kueue,2,0.315318,577.554629
182,4,size-4,kueue,28,0.334534,361.789226
183,3,size-3,kueue,4,0.407313,751.048618
184,2,size-2,kueue,2,0.217357,664.755017
185,2,size-2,kueue,3,0.196758,819.318696
186,3,size-3,kueue,1,0.404324,20.386391
187,2,size-2,kueue,1,0.911823,189.751453
188,5,size-5,kueue,4,0.386092,783.985026
189,5,size-5,kueue,4,0.391565,158.885314
190,4,size-4,kueue,34,0.217625,488.326022
191,4,size-4,kueue,19,0.087459,1012.231904
192,6,size-6,kueue,34,0.31533,445.619168
193,2,size-2,kueue,27,0.327083,780.376245
194,3,size-3,kueue,3,0.261745,452.622785
195,4,size-4,kueue,36,0.967952,234.892172
196,6,size-6,kueue,39,0.381879,280.950521
197,4,size-4,kueue,28,0.365582,814.561787
198,6,size-6,kueue,34,0.316026,858.643991
199,3,size-3,kueue,3,0.391982,241.271833
200,3,size-3,kueue,2,0.592592,367.306026
201,2,size-2,kueue,2,0.443521,68.732719
202,6,size-6,kueue,2,0.126909,932.258394
203,5,size-5,kueue,3,0.166188,896.57746
204,5,size-5,kueue,3,0.295688,705.454469
205,2,size-2,kueue,1,0.242137,20.886991
